attack_MNIST_p0.1
    last 2 stats in final epoch
    i=220: accuracy 97.88, attack success rate 98.97
    i=230: accuracy 97.84, attack success rate 99.87

attack_MNIST_p0.3
    last 2 stats in final epoch
    i=220: accuracy 97.63, attack success rate 99.14
    i=230: accuracy 97.52, attack success rate 100.0

attack_MNIST_p0.5
    last 2 stats in final epoch
    i=220: accuracy 97.34, attack success rate 99.95
    i=230: accuracy 96.99, attack success rate 100.0

defense_MNIST_p0.1_qt0.0
    last 2 epochs
    i=0: accuracy 97.17, attack success rate 11.76, avg_weight_poisoned 1.042458415031433
    i=160: accuracy 87.65, attack success rate 12.9, avg_weight_poisoned 0.9948439598083496
    i=170: accuracy 88.05, attack success rate 12.52, avg_weight_poisoned 1.0882818698883057
    i=180: accuracy 88.83, attack success rate 12.43, avg_weight_poisoned 0.9687183499336243
    i=190: accuracy 89.95, attack success rate 12.59, avg_weight_poisoned 1.059754490852356
    i=200: accuracy 90.19, attack success rate 12.3, avg_weight_poisoned 0.9643951654434204
    i=210: accuracy 89.67, attack success rate 14.18, avg_weight_poisoned 0.9939481616020203
    i=220: accuracy 90.14, attack success rate 13.88, avg_weight_poisoned 0.9682859182357788
    i=230: accuracy 89.91, attack success rate 14.68, avg_weight_poisoned 1.1282809972763062
    i=0: accuracy 89.56, attack success rate 9.74, avg_weight_poisoned 0.9129620790481567
    i=10: accuracy 90.69, attack success rate 12.48, avg_weight_poisoned 1.105011224746704
    i=20: accuracy 89.55, attack success rate 12.59, avg_weight_poisoned 1.085181713104248
    i=30: accuracy 89.81, attack success rate 12.82, avg_weight_poisoned 1.0772773027420044
    i=40: accuracy 92.11, attack success rate 12.51, avg_weight_poisoned 0.9537240266799927
    i=50: accuracy 92.24, attack success rate 12.62, avg_weight_poisoned 1.018242597579956
    i=60: accuracy 92.27, attack success rate 13.17, avg_weight_poisoned 1.1149771213531494
    i=70: accuracy 92.44, attack success rate 12.55, avg_weight_poisoned 1.005647897720337
    i=80: accuracy 91.89, attack success rate 13.2, avg_weight_poisoned 1.0967434644699097
    i=90: accuracy 92.5, attack success rate 12.87, avg_weight_poisoned 1.0352308750152588
    i=100: accuracy 93.33, attack success rate 12.36, avg_weight_poisoned 0.9959370493888855
    i=110: accuracy 93.59, attack success rate 11.84, avg_weight_poisoned 1.0163180828094482
    i=120: accuracy 93.57, attack success rate 12.48, avg_weight_poisoned 0.9728642702102661
    i=130: accuracy 92.73, attack success rate 12.9, avg_weight_poisoned 0.9367749094963074
    i=140: accuracy 93.4, attack success rate 12.11, avg_weight_poisoned 0.9731737375259399
    i=150: accuracy 93.94, attack success rate 12.03, avg_weight_poisoned 1.050283432006836
    i=160: accuracy 94.03, attack success rate 11.78, avg_weight_poisoned 1.1455408334732056
    i=170: accuracy 93.77, attack success rate 12.67, avg_weight_poisoned 0.9691756367683411
    i=180: accuracy 93.86, attack success rate 12.65, avg_weight_poisoned 1.1514445543289185
    i=190: accuracy 94.53, attack success rate 12.7, avg_weight_poisoned 0.9374223947525024
    i=200: accuracy 94.29, attack success rate 12.33, avg_weight_poisoned 1.101988673210144
    i=210: accuracy 94.08, attack success rate 12.21, avg_weight_poisoned 0.9823591113090515
    i=220: accuracy 94.29, attack success rate 11.84, avg_weight_poisoned 0.9912249445915222
    i=230: accuracy 94.83, attack success rate 12.5, avg_weight_poisoned 1.0429068803787231
    i=0: accuracy 95.03, attack success rate 11.62, avg_weight_poisoned 0.9390435218811035
    i=10: accuracy 94.84, attack success rate 11.66, avg_weight_poisoned 0.9365929365158081
    i=20: accuracy 94.88, attack success rate 12.59, avg_weight_poisoned 0.9289900064468384
    i=30: accuracy 94.57, attack success rate 11.91, avg_weight_poisoned 0.9799739718437195
    i=40: accuracy 94.92, attack success rate 11.58, avg_weight_poisoned 1.0939724445343018
    i=50: accuracy 95.23, attack success rate 11.9, avg_weight_poisoned 1.0892841815948486
    i=60: accuracy 96.04, attack success rate 11.95, avg_weight_poisoned 0.9502059817314148
    i=70: accuracy 95.95, attack success rate 11.73, avg_weight_poisoned 0.9749903678894043
    i=80: accuracy 95.47, attack success rate 11.92, avg_weight_poisoned 0.9986022114753723
    i=90: accuracy 95.23, attack success rate 11.52, avg_weight_poisoned 1.1842787265777588
    i=100: accuracy 95.72, attack success rate 12.03, avg_weight_poisoned 0.953696072101593
    i=110: accuracy 95.75, attack success rate 12.03, avg_weight_poisoned 1.0225605964660645
    i=120: accuracy 95.15, attack success rate 12.85, avg_weight_poisoned 0.9503129124641418
    i=130: accuracy 95.74, attack success rate 12.44, avg_weight_poisoned 1.0682141780853271
    i=140: accuracy 95.71, attack success rate 12.33, avg_weight_poisoned 1.0019373893737793
    i=150: accuracy 95.84, attack success rate 11.86, avg_weight_poisoned 1.0035427808761597
    i=160: accuracy 95.5, attack success rate 13.02, avg_weight_poisoned 0.9791045188903809
    i=170: accuracy 95.18, attack success rate 13.5, avg_weight_poisoned 1.001729130744934
    i=180: accuracy 95.74, attack success rate 12.52, avg_weight_poisoned 1.1061830520629883
    i=190: accuracy 95.61, attack success rate 13.25, avg_weight_poisoned 0.9763391613960266
    i=200: accuracy 95.89, attack success rate 12.37, avg_weight_poisoned 0.978683352470398
    i=210: accuracy 96.32, attack success rate 11.81, avg_weight_poisoned 1.0323625802993774
    i=220: accuracy 96.27, attack success rate 11.94, avg_weight_poisoned 1.0030338764190674
    i=230: accuracy 95.8, attack success rate 12.31, avg_weight_poisoned 1.0015517473220825
    i=0: accuracy 95.31, attack success rate 12.91, avg_weight_poisoned 1.167986273765564
    i=10: accuracy 95.83, attack success rate 12.48, avg_weight_poisoned 0.9502013921737671
    i=20: accuracy 95.63, attack success rate 13.99, avg_weight_poisoned 1.0424034595489502
    i=30: accuracy 96.16, attack success rate 12.9, avg_weight_poisoned 0.9962517023086548
    i=40: accuracy 96.26, attack success rate 11.95, avg_weight_poisoned 1.0329644680023193
    i=50: accuracy 96.56, attack success rate 12.03, avg_weight_poisoned 0.95695561170578
    i=60: accuracy 96.03, attack success rate 12.89, avg_weight_poisoned 0.9492513537406921
    i=70: accuracy 96.43, attack success rate 11.92, avg_weight_poisoned 1.075629711151123
    i=80: accuracy 96.4, attack success rate 12.84, avg_weight_poisoned 1.0325123071670532
    i=90: accuracy 95.23, attack success rate 14.49, avg_weight_poisoned 1.066343069076538
    i=100: accuracy 96.24, attack success rate 12.21, avg_weight_poisoned 0.9541549682617188
    i=110: accuracy 96.52, attack success rate 12.75, avg_weight_poisoned 1.0531598329544067
    i=120: accuracy 96.17, attack success rate 14.23, avg_weight_poisoned 0.9306600689888
    i=130: accuracy 96.58, attack success rate 12.93, avg_weight_poisoned 0.8930038213729858
    i=140: accuracy 96.54, attack success rate 14.11, avg_weight_poisoned 1.0827709436416626
    i=150: accuracy 96.55, attack success rate 13.62, avg_weight_poisoned 1.020389199256897
    i=160: accuracy 96.6, attack success rate 15.84, avg_weight_poisoned 0.9402759671211243
    i=170: accuracy 96.69, attack success rate 17.77, avg_weight_poisoned 1.0422561168670654
    i=180: accuracy 96.71, attack success rate 16.33, avg_weight_poisoned 0.9346815943717957
    i=190: accuracy 96.61, attack success rate 14.72, avg_weight_poisoned 0.9952438473701477
    i=200: accuracy 96.81, attack success rate 19.92, avg_weight_poisoned 1.1184666156768799
    i=210: accuracy 96.18, attack success rate 31.87, avg_weight_poisoned 1.0435378551483154
    i=220: accuracy 96.69, attack success rate 37.4, avg_weight_poisoned 1.0453276634216309
    i=230: accuracy 95.04, attack success rate 74.33, avg_weight_poisoned 0.9678747057914734
    i=0: accuracy 96.56, attack success rate 50.64, avg_weight_poisoned 1.0729522705078125
    i=10: accuracy 96.08, attack success rate 16.24, avg_weight_poisoned 0.9671198725700378
    i=20: accuracy 94.43, attack success rate 12.03, avg_weight_poisoned 1.0458612442016602
    i=30: accuracy 91.8, attack success rate 94.15, avg_weight_poisoned 1.0957350730895996
    i=40: accuracy 96.0, attack success rate 74.93, avg_weight_poisoned 0.900239109992981
    i=50: accuracy 96.68, attack success rate 72.48, avg_weight_poisoned 0.9925268888473511
    i=60: accuracy 96.72, attack success rate 91.34, avg_weight_poisoned 0.9501773715019226
    i=70: accuracy 96.26, attack success rate 92.53, avg_weight_poisoned 0.9253071546554565
    i=80: accuracy 96.52, attack success rate 94.45, avg_weight_poisoned 1.094775915145874
    i=90: accuracy 96.59, attack success rate 95.61, avg_weight_poisoned 1.0347615480422974
    i=100: accuracy 96.66, attack success rate 98.19, avg_weight_poisoned 0.9307743310928345
    i=110: accuracy 96.83, attack success rate 93.5, avg_weight_poisoned 1.0272367000579834
    i=120: accuracy 96.59, attack success rate 94.18, avg_weight_poisoned 0.948034942150116
    i=130: accuracy 97.02, attack success rate 95.87, avg_weight_poisoned 0.8878426551818848
    i=140: accuracy 96.34, attack success rate 96.92, avg_weight_poisoned 0.9304796457290649
    i=150: accuracy 97.0, attack success rate 99.51, avg_weight_poisoned 0.9361671209335327
    i=160: accuracy 96.02, attack success rate 96.99, avg_weight_poisoned 1.1004208326339722
    i=170: accuracy 96.73, attack success rate 94.95, avg_weight_poisoned 1.1512887477874756
    i=180: accuracy 97.12, attack success rate 98.29, avg_weight_poisoned 0.9986398816108704
    i=190: accuracy 97.16, attack success rate 98.75, avg_weight_poisoned 0.962743878364563
    i=200: accuracy 97.61, attack success rate 98.6, avg_weight_poisoned 0.9566786885261536
    i=210: accuracy 97.4, attack success rate 98.87, avg_weight_poisoned 0.8843571543693542
    i=220: accuracy 97.2, attack success rate 99.54, avg_weight_poisoned 0.9311034083366394
    i=230: accuracy 96.99, attack success rate 99.73, avg_weight_poisoned 0.9256669282913208
    i=0: accuracy 97.25, attack success rate 99.19, avg_weight_poisoned 1.0687328577041626
    i=10: accuracy 97.48, attack success rate 99.16, avg_weight_poisoned 1.003638744354248
    i=20: accuracy 96.91, attack success rate 98.44, avg_weight_poisoned 0.9864886403083801
    i=30: accuracy 96.95, attack success rate 99.09, avg_weight_poisoned 0.9482056498527527
    i=40: accuracy 97.43, attack success rate 99.3, avg_weight_poisoned 0.9957808256149292
    i=50: accuracy 97.2, attack success rate 98.56, avg_weight_poisoned 0.9813390970230103
    i=60: accuracy 97.53, attack success rate 99.17, avg_weight_poisoned 0.8892256617546082
    i=70: accuracy 97.29, attack success rate 96.41, avg_weight_poisoned 1.0837829113006592
    i=80: accuracy 97.04, attack success rate 99.26, avg_weight_poisoned 1.0341157913208008
    i=90: accuracy 97.68, attack success rate 99.71, avg_weight_poisoned 1.00162672996521
    i=100: accuracy 97.51, attack success rate 99.36, avg_weight_poisoned 0.8717387318611145
    i=110: accuracy 97.22, attack success rate 99.69, avg_weight_poisoned 0.8805750012397766
    i=120: accuracy 97.35, attack success rate 95.58, avg_weight_poisoned 1.0520389080047607
    i=130: accuracy 97.54, attack success rate 97.99, avg_weight_poisoned 0.969165027141571
    i=140: accuracy 97.68, attack success rate 99.67, avg_weight_poisoned 0.9193131327629089
    i=150: accuracy 97.84, attack success rate 99.86, avg_weight_poisoned 0.9421416521072388
    i=160: accuracy 97.7, attack success rate 99.42, avg_weight_poisoned 0.8716819882392883
    i=170: accuracy 97.69, attack success rate 99.03, avg_weight_poisoned 0.940673828125
    i=180: accuracy 97.28, attack success rate 99.54, avg_weight_poisoned 0.9103649854660034
    i=190: accuracy 97.5, attack success rate 99.05, avg_weight_poisoned 1.0020372867584229
    i=200: accuracy 96.9, attack success rate 97.99, avg_weight_poisoned 1.0473971366882324
    i=210: accuracy 97.45, attack success rate 98.48, avg_weight_poisoned 0.9744691848754883
    i=220: accuracy 97.11, attack success rate 99.38, avg_weight_poisoned 0.9600178003311157
    i=230: accuracy 97.79, attack success rate 99.57, avg_weight_poisoned 0.9856149554252625
    i=0: accuracy 97.19, attack success rate 98.24, avg_weight_poisoned 0.9735457301139832
    i=10: accuracy 97.18, attack success rate 97.08, avg_weight_poisoned 1.0186681747436523
    i=20: accuracy 97.44, attack success rate 99.04, avg_weight_poisoned 1.059279203414917
    i=30: accuracy 97.79, attack success rate 99.35, avg_weight_poisoned 0.9083694219589233
    i=40: accuracy 97.85, attack success rate 99.65, avg_weight_poisoned 0.9672408103942871
    i=50: accuracy 97.85, attack success rate 99.3, avg_weight_poisoned 0.7514681816101074
    i=60: accuracy 97.47, attack success rate 98.97, avg_weight_poisoned 1.0415400266647339
    i=70: accuracy 97.63, attack success rate 99.44, avg_weight_poisoned 0.955044150352478
    i=80: accuracy 98.0, attack success rate 99.78, avg_weight_poisoned 0.9596534967422485
    i=90: accuracy 97.76, attack success rate 99.71, avg_weight_poisoned 0.8522471189498901
    i=100: accuracy 97.8, attack success rate 99.94, avg_weight_poisoned 0.9514089822769165
    i=110: accuracy 97.68, attack success rate 97.2, avg_weight_poisoned 1.0723004341125488
    i=120: accuracy 97.81, attack success rate 98.81, avg_weight_poisoned 0.8608641624450684
    i=130: accuracy 97.98, attack success rate 99.61, avg_weight_poisoned 0.8701456785202026
    i=140: accuracy 97.31, attack success rate 99.91, avg_weight_poisoned 0.8585052490234375
    i=150: accuracy 97.74, attack success rate 99.47, avg_weight_poisoned 1.0308175086975098
    i=160: accuracy 97.38, attack success rate 99.82, avg_weight_poisoned 1.0476226806640625
    i=170: accuracy 97.31, attack success rate 97.61, avg_weight_poisoned 1.1263588666915894
    i=180: accuracy 97.61, attack success rate 97.16, avg_weight_poisoned 0.9640970230102539
    i=190: accuracy 98.12, attack success rate 99.87, avg_weight_poisoned 0.8804929852485657
    i=200: accuracy 97.85, attack success rate 99.73, avg_weight_poisoned 1.0807381868362427
    i=210: accuracy 97.86, attack success rate 99.78, avg_weight_poisoned 1.178283929824829
    i=220: accuracy 97.73, attack success rate 97.95, avg_weight_poisoned 1.0128586292266846
    i=230: accuracy 98.12, attack success rate 99.8, avg_weight_poisoned 0.8620731234550476

defense_MNIST_p0.5_qt0.0
    all 7 epochs
    i=0: accuracy 10.38, attack success rate 0.0, avg_weight_poisoned 0.9856807589530945
    i=10: accuracy 11.38, attack success rate 0.0, avg_weight_poisoned 1.0607956647872925
    i=20: accuracy 11.46, attack success rate 0.0, avg_weight_poisoned 0.9402812719345093
    i=30: accuracy 16.29, attack success rate 0.0, avg_weight_poisoned 1.0310566425323486
    i=40: accuracy 19.39, attack success rate 0.0, avg_weight_poisoned 1.1008927822113037
    i=50: accuracy 29.93, attack success rate 0.0, avg_weight_poisoned 1.0135867595672607
    i=60: accuracy 49.0, attack success rate 0.0, avg_weight_poisoned 1.0076725482940674
    i=70: accuracy 55.8, attack success rate 0.0, avg_weight_poisoned 1.0174932479858398
    i=80: accuracy 60.35, attack success rate 0.0, avg_weight_poisoned 0.9341220855712891
    i=90: accuracy 69.7, attack success rate 0.03, avg_weight_poisoned 0.8650659322738647
    i=100: accuracy 70.79, attack success rate 1.37, avg_weight_poisoned 0.999936580657959
    i=110: accuracy 73.68, attack success rate 2.76, avg_weight_poisoned 1.0415077209472656
    i=120: accuracy 79.51, attack success rate 8.61, avg_weight_poisoned 0.9779682159423828
    i=130: accuracy 81.63, attack success rate 11.57, avg_weight_poisoned 0.9952062368392944
    i=140: accuracy 82.29, attack success rate 9.54, avg_weight_poisoned 1.0462675094604492
    i=150: accuracy 82.55, attack success rate 5.87, avg_weight_poisoned 1.0708674192428589
    i=160: accuracy 86.55, attack success rate 11.92, avg_weight_poisoned 1.0611178874969482
    i=170: accuracy 87.66, attack success rate 11.87, avg_weight_poisoned 1.0702897310256958
    i=180: accuracy 86.37, attack success rate 9.77, avg_weight_poisoned 1.0636823177337646
    i=190: accuracy 88.82, attack success rate 10.72, avg_weight_poisoned 0.9940392374992371
    i=200: accuracy 88.82, attack success rate 11.78, avg_weight_poisoned 1.0276859998703003
    i=210: accuracy 89.49, attack success rate 13.37, avg_weight_poisoned 1.0235936641693115
    i=220: accuracy 90.09, attack success rate 13.82, avg_weight_poisoned 0.9886559247970581
    i=230: accuracy 89.25, attack success rate 14.09, avg_weight_poisoned 1.0241590738296509
    i=0: accuracy 89.39, attack success rate 11.5, avg_weight_poisoned 1.0066791772842407
    i=10: accuracy 90.23, attack success rate 13.19, avg_weight_poisoned 1.1188230514526367
    i=20: accuracy 89.84, attack success rate 11.96, avg_weight_poisoned 0.9223324656486511
    i=30: accuracy 90.86, attack success rate 12.86, avg_weight_poisoned 1.1009035110473633
    i=40: accuracy 91.51, attack success rate 13.02, avg_weight_poisoned 0.9201579093933105
    i=50: accuracy 91.49, attack success rate 12.62, avg_weight_poisoned 1.0013136863708496
    i=60: accuracy 91.93, attack success rate 11.89, avg_weight_poisoned 1.0117228031158447
    i=70: accuracy 91.9, attack success rate 13.17, avg_weight_poisoned 0.9592782855033875
    i=80: accuracy 91.05, attack success rate 13.18, avg_weight_poisoned 1.0888118743896484
    i=90: accuracy 91.06, attack success rate 13.54, avg_weight_poisoned 1.0064784288406372
    i=100: accuracy 92.88, attack success rate 12.51, avg_weight_poisoned 0.9482115507125854
    i=110: accuracy 92.79, attack success rate 12.5, avg_weight_poisoned 0.9952260851860046
    i=120: accuracy 93.12, attack success rate 12.72, avg_weight_poisoned 0.9800983667373657
    i=130: accuracy 93.26, attack success rate 11.99, avg_weight_poisoned 1.0186796188354492
    i=140: accuracy 93.64, attack success rate 11.6, avg_weight_poisoned 1.018997311592102
    i=150: accuracy 93.34, attack success rate 12.48, avg_weight_poisoned 0.9277713894844055
    i=160: accuracy 93.61, attack success rate 11.33, avg_weight_poisoned 1.0789278745651245
    i=170: accuracy 93.76, attack success rate 12.35, avg_weight_poisoned 0.8953825235366821
    i=180: accuracy 94.11, attack success rate 12.46, avg_weight_poisoned 0.9903075098991394
    i=190: accuracy 94.32, attack success rate 12.68, avg_weight_poisoned 1.001166820526123
    i=200: accuracy 93.98, attack success rate 12.45, avg_weight_poisoned 0.9771026372909546
    i=210: accuracy 94.11, attack success rate 12.04, avg_weight_poisoned 0.9712359309196472
    i=220: accuracy 93.73, attack success rate 12.19, avg_weight_poisoned 0.9921138882637024
    i=230: accuracy 94.03, attack success rate 12.59, avg_weight_poisoned 1.059502363204956
    i=0: accuracy 94.18, attack success rate 12.38, avg_weight_poisoned 1.0103589296340942
    i=10: accuracy 94.46, attack success rate 12.37, avg_weight_poisoned 0.9484785199165344
    i=20: accuracy 94.88, attack success rate 12.55, avg_weight_poisoned 0.9340499043464661
    i=30: accuracy 94.69, attack success rate 12.06, avg_weight_poisoned 0.9422932863235474
    i=40: accuracy 93.97, attack success rate 12.1, avg_weight_poisoned 0.9366258382797241
    i=50: accuracy 94.64, attack success rate 11.93, avg_weight_poisoned 0.95232093334198
    i=60: accuracy 95.55, attack success rate 11.82, avg_weight_poisoned 0.9727842211723328
    i=70: accuracy 95.46, attack success rate 12.48, avg_weight_poisoned 1.0552486181259155
    i=80: accuracy 95.23, attack success rate 12.26, avg_weight_poisoned 0.9224562644958496
    i=90: accuracy 94.67, attack success rate 11.37, avg_weight_poisoned 1.017861008644104
    i=100: accuracy 95.0, attack success rate 12.86, avg_weight_poisoned 0.9730843305587769
    i=110: accuracy 94.96, attack success rate 13.09, avg_weight_poisoned 1.1100742816925049
    i=120: accuracy 94.85, attack success rate 12.83, avg_weight_poisoned 0.8594387769699097
    i=130: accuracy 95.21, attack success rate 12.55, avg_weight_poisoned 0.9631946682929993
    i=140: accuracy 95.42, attack success rate 13.05, avg_weight_poisoned 0.9569113850593567
    i=150: accuracy 95.37, attack success rate 12.53, avg_weight_poisoned 1.0062175989151
    i=160: accuracy 95.46, attack success rate 12.96, avg_weight_poisoned 1.0633145570755005
    i=170: accuracy 95.39, attack success rate 13.15, avg_weight_poisoned 1.004652976989746
    i=180: accuracy 95.81, attack success rate 12.52, avg_weight_poisoned 0.9870985746383667
    i=190: accuracy 95.29, attack success rate 13.77, avg_weight_poisoned 1.0536895990371704
    i=200: accuracy 95.83, attack success rate 12.44, avg_weight_poisoned 0.9816576838493347
    i=210: accuracy 95.85, attack success rate 11.83, avg_weight_poisoned 0.9256079792976379
    i=220: accuracy 95.6, attack success rate 13.21, avg_weight_poisoned 1.0137004852294922
    i=230: accuracy 95.39, attack success rate 13.69, avg_weight_poisoned 1.128496766090393
    i=0: accuracy 94.38, attack success rate 15.26, avg_weight_poisoned 1.1563379764556885
    i=10: accuracy 94.98, attack success rate 14.8, avg_weight_poisoned 1.0026453733444214
    i=20: accuracy 95.63, attack success rate 14.72, avg_weight_poisoned 0.943182647228241
    i=30: accuracy 95.81, attack success rate 13.85, avg_weight_poisoned 0.8595765829086304
    i=40: accuracy 96.05, attack success rate 13.94, avg_weight_poisoned 0.941687285900116
    i=50: accuracy 95.78, attack success rate 14.59, avg_weight_poisoned 0.919478714466095
    i=60: accuracy 95.88, attack success rate 13.93, avg_weight_poisoned 1.0001184940338135
    i=70: accuracy 95.77, attack success rate 14.19, avg_weight_poisoned 1.0371124744415283
    i=80: accuracy 96.37, attack success rate 14.57, avg_weight_poisoned 0.9399101138114929
    i=90: accuracy 95.8, attack success rate 19.39, avg_weight_poisoned 1.1180522441864014
    i=100: accuracy 95.99, attack success rate 19.35, avg_weight_poisoned 0.9865928888320923
    i=110: accuracy 95.91, attack success rate 25.07, avg_weight_poisoned 0.9603050351142883
    i=120: accuracy 94.84, attack success rate 32.97, avg_weight_poisoned 0.9110867381095886
    i=130: accuracy 96.31, attack success rate 40.92, avg_weight_poisoned 0.9720392227172852
    i=140: accuracy 95.4, attack success rate 80.61, avg_weight_poisoned 1.1175034046173096
    i=150: accuracy 94.65, attack success rate 91.98, avg_weight_poisoned 1.01827073097229
    i=160: accuracy 95.9, attack success rate 50.88, avg_weight_poisoned 0.9517906904220581
    i=170: accuracy 96.15, attack success rate 84.43, avg_weight_poisoned 0.9333265423774719
    i=180: accuracy 95.79, attack success rate 95.9, avg_weight_poisoned 1.013047695159912
    i=190: accuracy 94.15, attack success rate 87.4, avg_weight_poisoned 0.9888154864311218
    i=200: accuracy 96.23, attack success rate 94.1, avg_weight_poisoned 0.9467597007751465
    i=210: accuracy 95.77, attack success rate 89.73, avg_weight_poisoned 0.8754916191101074
    i=220: accuracy 96.18, attack success rate 98.03, avg_weight_poisoned 0.9789077639579773
    i=230: accuracy 95.84, attack success rate 96.4, avg_weight_poisoned 0.9623497724533081
    i=0: accuracy 96.05, attack success rate 89.56, avg_weight_poisoned 1.0289223194122314
    i=10: accuracy 96.17, attack success rate 98.64, avg_weight_poisoned 0.9157737493515015
    i=20: accuracy 95.87, attack success rate 98.77, avg_weight_poisoned 1.0137535333633423
    i=30: accuracy 96.56, attack success rate 96.41, avg_weight_poisoned 0.9686492681503296
    i=40: accuracy 96.32, attack success rate 98.88, avg_weight_poisoned 0.9829100370407104
    i=50: accuracy 96.71, attack success rate 99.36, avg_weight_poisoned 0.977321982383728
    i=60: accuracy 96.8, attack success rate 94.57, avg_weight_poisoned 0.9373571276664734
    i=70: accuracy 96.29, attack success rate 98.54, avg_weight_poisoned 0.9110800623893738
    i=80: accuracy 96.5, attack success rate 99.56, avg_weight_poisoned 0.9421447515487671
    i=90: accuracy 96.38, attack success rate 99.95, avg_weight_poisoned 0.9728765487670898
    i=100: accuracy 95.95, attack success rate 99.91, avg_weight_poisoned 0.8881794810295105
    i=110: accuracy 96.91, attack success rate 99.31, avg_weight_poisoned 1.0579259395599365
    i=120: accuracy 96.76, attack success rate 98.74, avg_weight_poisoned 1.0715010166168213
    i=130: accuracy 96.87, attack success rate 98.84, avg_weight_poisoned 0.8440022468566895
    i=140: accuracy 96.31, attack success rate 99.08, avg_weight_poisoned 0.9856177568435669
    i=150: accuracy 96.17, attack success rate 99.75, avg_weight_poisoned 1.0860507488250732
    i=160: accuracy 94.93, attack success rate 96.92, avg_weight_poisoned 0.9613420367240906
    i=170: accuracy 96.73, attack success rate 98.67, avg_weight_poisoned 0.9821544885635376
    i=180: accuracy 96.9, attack success rate 98.95, avg_weight_poisoned 0.9744478464126587
    i=190: accuracy 96.77, attack success rate 99.8, avg_weight_poisoned 0.9232657551765442
    i=200: accuracy 97.14, attack success rate 98.18, avg_weight_poisoned 0.9771345257759094
    i=210: accuracy 96.74, attack success rate 98.85, avg_weight_poisoned 1.0633442401885986
    i=220: accuracy 96.62, attack success rate 99.75, avg_weight_poisoned 0.9753812551498413
    i=230: accuracy 97.03, attack success rate 99.52, avg_weight_poisoned 0.9447218775749207
    i=0: accuracy 96.87, attack success rate 99.77, avg_weight_poisoned 1.1129887104034424
    i=10: accuracy 97.41, attack success rate 99.83, avg_weight_poisoned 0.9950891733169556
    i=20: accuracy 96.81, attack success rate 99.49, avg_weight_poisoned 1.0081160068511963
    i=30: accuracy 96.86, attack success rate 99.62, avg_weight_poisoned 0.9951203465461731
    i=40: accuracy 96.59, attack success rate 99.77, avg_weight_poisoned 1.0632497072219849
    i=50: accuracy 97.09, attack success rate 98.92, avg_weight_poisoned 0.99870365858078
    i=60: accuracy 97.06, attack success rate 99.3, avg_weight_poisoned 0.9072974920272827
    i=70: accuracy 96.9, attack success rate 98.72, avg_weight_poisoned 1.0771218538284302
    i=80: accuracy 96.81, attack success rate 99.71, avg_weight_poisoned 0.9657594561576843
    i=90: accuracy 97.38, attack success rate 99.93, avg_weight_poisoned 0.938971996307373
    i=100: accuracy 97.46, attack success rate 99.75, avg_weight_poisoned 1.0323479175567627
    i=110: accuracy 97.06, attack success rate 99.62, avg_weight_poisoned 0.905630886554718
    i=120: accuracy 96.69, attack success rate 99.52, avg_weight_poisoned 0.9915396571159363
    i=130: accuracy 97.56, attack success rate 98.54, avg_weight_poisoned 1.1170705556869507
    i=140: accuracy 97.3, attack success rate 99.9, avg_weight_poisoned 0.9239941835403442
    i=150: accuracy 97.45, attack success rate 99.76, avg_weight_poisoned 1.017153263092041
    i=160: accuracy 96.57, attack success rate 99.5, avg_weight_poisoned 0.9635200500488281
    i=170: accuracy 97.68, attack success rate 99.59, avg_weight_poisoned 0.8941030502319336
    i=180: accuracy 97.0, attack success rate 99.88, avg_weight_poisoned 0.9395875930786133
    i=190: accuracy 97.18, attack success rate 99.27, avg_weight_poisoned 0.9325792193412781
    i=200: accuracy 97.14, attack success rate 99.96, avg_weight_poisoned 0.9066374897956848
    i=210: accuracy 97.14, attack success rate 99.17, avg_weight_poisoned 0.963851273059845
    i=220: accuracy 96.83, attack success rate 99.75, avg_weight_poisoned 0.9968845248222351
    i=230: accuracy 97.4, attack success rate 99.92, avg_weight_poisoned 0.9937942624092102
    i=0: accuracy 97.25, attack success rate 98.01, avg_weight_poisoned 0.9319872856140137
    i=10: accuracy 97.31, attack success rate 99.99, avg_weight_poisoned 0.941007137298584
    i=20: accuracy 97.01, attack success rate 99.94, avg_weight_poisoned 0.9985867738723755
    i=30: accuracy 96.79, attack success rate 99.76, avg_weight_poisoned 1.0231612920761108
    i=40: accuracy 97.8, attack success rate 99.2, avg_weight_poisoned 1.047653317451477
    i=50: accuracy 97.69, attack success rate 99.93, avg_weight_poisoned 0.7712653279304504
    i=60: accuracy 97.07, attack success rate 99.5, avg_weight_poisoned 0.9632954597473145
    i=70: accuracy 96.81, attack success rate 95.93, avg_weight_poisoned 1.0513800382614136
    i=80: accuracy 97.38, attack success rate 99.74, avg_weight_poisoned 0.9848427772521973
    i=90: accuracy 97.06, attack success rate 99.94, avg_weight_poisoned 1.0103976726531982
    i=100: accuracy 97.76, attack success rate 99.96, avg_weight_poisoned 1.0176804065704346
    i=110: accuracy 97.75, attack success rate 96.49, avg_weight_poisoned 1.075701117515564
    i=120: accuracy 97.21, attack success rate 99.89, avg_weight_poisoned 0.9639198184013367
    i=130: accuracy 97.5, attack success rate 99.67, avg_weight_poisoned 0.8605373501777649
    i=140: accuracy 97.15, attack success rate 99.94, avg_weight_poisoned 0.9285708665847778
    i=150: accuracy 97.39, attack success rate 99.93, avg_weight_poisoned 1.0084408521652222
